Auction_id,Auction_Desc,bip_id,Major Grouping,Minor Grouping,Block,Submarket,License Size (Mhz),bip_desc,BUs,Population,Number of Bids,bidder_name,Round of High Bid,Increments of Bid,bid_amt,Bidding Credit,net_bid_amt
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA324-C3,MTA023,BTA324,C3,0,10,"Norfolk-Virginia Beach, VA","892,000.00","1,784,356.00",0,"Vista PCS, LLC",47,0,36804000,0.00,36804000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA413-C3,MTA024,BTA413,C3,0,10,"Seattle-Tacoma, WA","1,616,000.00","3,232,492.00",0,"Vista PCS, LLC",13,0,35709000,0.00,35709000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA084-C4,MTA016,BTA084,C4,0,10,"Cleveland-Akron, OH","1,497,000.00","2,993,610.00",0,"CSM Wireless, LLC",51,0,45938000,0.25,34453500
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA329-C3,MTA041,BTA329,C3,0,10,"Oklahoma City, OK","717,000.00","1,434,827.00",0,"Vista PCS, LLC",44,0,34135000,0.00,34135000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA074-C4,MTA006,BTA074,C4,0,10,"Charlotte-Gastonia, NC","1,039,000.00","2,078,083.00",0,"Vista PCS, LLC",34,0,33361000,0.00,33361000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA329-C4,MTA041,BTA329,C4,0,10,"Oklahoma City, OK","717,000.00","1,434,827.00",0,"Edge Mobile, LLC",43,0,32910000,0.00,32910000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA074-C3,MTA006,BTA074,C3,0,10,"Charlotte-Gastonia, NC","1,039,000.00","2,078,083.00",0,"Carroll Wireless, LP",33,0,32293000,0.00,32293000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA374-C3,MTA023,BTA374,C3,0,10,"Richmond-Petersburg, VA","628,000.00","1,256,479.00",0,"Cook Inlet/VS GSM VII PCS, LLC",57,0,30410000,0.00,30410000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA324-C5,MTA023,BTA324,C5,0,10,"Norfolk-Virginia Beach, VA","892,000.00","1,784,356.00",0,"Wirefree Partners III, LLC",49,0,39647000,0.25,29735250
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA374-C4,MTA023,BTA374,C4,0,10,"Richmond-Petersburg, VA","628,000.00","1,256,479.00",0,"Edge Mobile, LLC",56,0,28365000,0.00,28365000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA174-C5,MTA006,BTA174,C5,0,10,"Greensboro, NC","727,000.00","1,454,066.00",0,Cellco Partnership d/b/a Verizon Wireless,36,0,28338000,0.00,28338000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA413-C5,MTA024,BTA413,C5,0,10,"Seattle-Tacoma, WA","1,616,000.00","3,232,492.00",0,"Wirefree Partners III, LLC",14,0,37033000,0.25,27774750
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA329-C5,MTA041,BTA329,C5,0,10,"Oklahoma City, OK","717,000.00","1,434,827.00",0,"Carroll Wireless, LP",45,0,36681000,0.25,27510750
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA413-C4,MTA024,BTA413,C4,0,10,"Seattle-Tacoma, WA","1,616,000.00","3,232,492.00",0,"Cook Inlet/VS GSM VII PCS, LLC",12,0,35547000,0.25,26660250
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA297-F,MTA020,BTA297,F,0,10,"Milwaukee, WI","925,000.00","1,849,490.00",0,"Carroll Wireless, LP",54,0,29494000,0.25,22120500
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA374-C5,MTA023,BTA374,C5,0,10,"Richmond-Petersburg, VA","628,000.00","1,256,479.00",0,"Wirefree Partners III, LLC",45,0,28773000,0.25,21579750
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA081-C3,MTA018,BTA081,C3,0,10,"Cincinnati, OH","1,085,000.00","2,170,768.00",0,"Vista PCS, LLC",32,0,21312000,0.00,21312000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA081-C4,MTA018,BTA081,C4,0,10,"Cincinnati, OH","1,085,000.00","2,170,768.00",0,"Alaska Native Broadband 1 License, LLC",31,0,20242000,0.00,20242000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA358-C5,MTA030,BTA358,C5,0,10,"Portland, OR","1,057,000.00","2,114,640.00",0,"CSM Wireless, LLC",24,0,25580000,0.25,19185000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA081-C5,MTA018,BTA081,C5,0,10,"Cincinnati, OH","1,085,000.00","2,170,768.00",0,"Wirefree Partners III, LLC",28,0,24841000,0.25,18630750
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA174-C4,MTA006,BTA174,C4,0,10,"Greensboro, NC","727,000.00","1,454,066.00",0,"Wirefree Partners III, LLC",37,0,18238000,0.00,18238000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA174-C3,MTA006,BTA174,C3,0,10,"Greensboro, NC","727,000.00","1,454,066.00",0,"Carroll Wireless, LP",43,0,17707000,0.00,17707000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA298-C3,MTA012,BTA298,C3,0,10,"Minneapolis-St. Paul, MN","1,647,000.00","3,293,598.00",0,"Edge Mobile, LLC",1,0,16468000,0.00,16468000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA401-C4,MTA033,BTA401,C4,0,10,"San Antonio, TX","928,000.00","1,856,320.00",0,"Alaska Native Broadband 1 License, LLC",42,0,16047000,0.00,16047000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA401-C3,MTA033,BTA401,C3,0,10,"San Antonio, TX","928,000.00","1,856,320.00",0,"Cook Inlet/VS GSM VII PCS, LLC",41,0,15822000,0.00,15822000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA298-C5,MTA012,BTA298,C5,0,10,"Minneapolis-St. Paul, MN","1,647,000.00","3,293,598.00",0,"Carroll Wireless, LP",6,0,21009000,0.25,15756750
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA110-C5,MTA022,BTA110,C5,0,10,"Denver, CO","1,356,000.00","2,712,488.00",0,"Edge Mobile, LLC",2,0,15596000,0.00,15596000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA298-C4,MTA012,BTA298,C4,0,10,"Minneapolis-St. Paul, MN","1,647,000.00","3,293,598.00",0,"Cook Inlet/VS GSM VII PCS, LLC",2,0,20585000,0.25,15438750
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA401-C5,MTA033,BTA401,C5,0,10,"San Antonio, TX","928,000.00","1,856,320.00",0,"Punxsutawney Communications, LLC",19,0,19334000,0.25,14500500
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA350-C3,MTA021,BTA350,C3,0,10,"Pittsburgh, PA","1,236,000.00","2,471,759.00",0,"Edge Mobile, LLC",3,0,14213000,0.00,14213000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA226-C5,MTA034,BTA226,C5,0,10,"Kansas City, MO","1,025,000.00","2,049,447.00",0,"Cricket Licensee (Reauction), Inc.",57,0,13522000,0.00,13522000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA095-C3,MTA038,BTA095,C3,0,10,"Columbus, OH","846,000.00","1,692,240.00",0,"Vista PCS, LLC",54,0,12752000,0.00,12752000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA095-C4,MTA038,BTA095,C4,0,10,"Columbus, OH","846,000.00","1,692,240.00",0,"CSM Wireless, LLC",52,0,12440000,0.00,12440000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA350-C5,MTA021,BTA350,C5,0,10,"Pittsburgh, PA","1,236,000.00","2,471,759.00",0,"Edge Mobile, LLC",2,0,12359000,0.00,12359000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA350-C4,MTA021,BTA350,C4,0,10,"Pittsburgh, PA","1,236,000.00","2,471,759.00",0,"Vista PCS, LLC",2,0,12359000,0.00,12359000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA226-C4,MTA034,BTA226,C4,0,10,"Kansas City, MO","1,025,000.00","2,049,447.00",0,"Edge Mobile, LLC",48,0,11835000,0.00,11835000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA110-C4,MTA022,BTA110,C4,0,10,"Denver, CO","1,356,000.00","2,712,488.00",0,"Cook Inlet/VS GSM VII PCS, LLC",12,0,15766000,0.25,11824500
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA226-C3,MTA034,BTA226,C3,0,10,"Kansas City, MO","1,025,000.00","2,049,447.00",0,"Cook Inlet/VS GSM VII PCS, LLC",4,0,11528000,0.00,11528000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA027-C3,MTA007,BTA027,C3,0,10,"Austin, TX","663,000.00","1,325,029.00",0,"Alaska Native Broadband 1 License, LLC",38,0,11291000,0.00,11291000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA128-C3,MTA039,BTA128,C3,0,10,"El Paso, TX","374,000.00","748,239.00",0,"Alaska Native Broadband 1 License, LLC",36,0,11177000,0.00,11177000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA027-C5,MTA007,BTA027,C5,0,10,"Austin, TX","663,000.00","1,325,029.00",0,"Wirefree Partners III, LLC",52,0,13674000,0.25,10255500
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA027-C4,MTA007,BTA027,C4,0,10,"Austin, TX","663,000.00","1,325,029.00",0,"Cook Inlet/VS GSM VII PCS, LLC",36,0,9706000,0.00,9706000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA095-C5,MTA038,BTA095,C5,0,10,"Columbus, OH","846,000.00","1,692,240.00",0,"Wirefree Partners III, LLC",52,0,12859000,0.25,9644250
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA263-C5,MTA026,BTA263,C5,0,10,"Louisville, KY","743,000.00","1,486,048.00",0,Cellco Partnership d/b/a Verizon Wireless,25,0,8550000,0.00,8550000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA229-C1,MTA044,BTA229,C1,0,15,"Kingsport, TN-Johnson City, TN","531,000.00","707,899.00",0,"Vista PCS, LLC",53,0,8121000,0.00,8121000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA428-C5,MTA019,BTA428,C5,0,10,"Springfield, MO","330,000.00","660,151.00",0,Cellco Partnership d/b/a Verizon Wireless,56,0,8110000,0.00,8110000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA204-C4,MTA031,BTA204,C4,0,10,"Indianapolis, IN","776,000.00","1,552,963.00",0,"Carroll Wireless, LP",31,0,8026000,0.00,8026000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA204-C3,MTA031,BTA204,C3,0,10,"Indianapolis, IN","776,000.00","1,552,963.00",0,"Cook Inlet/VS GSM VII PCS, LLC",30,0,7961000,0.00,7961000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA204-C5,MTA031,BTA204,C5,0,10,"Indianapolis, IN","776,000.00","1,552,963.00",0,"CSM Wireless, LLC",53,0,9998000,0.25,7498500
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA428-C4,MTA019,BTA428,C4,0,10,"Springfield, MO","330,000.00","660,151.00",0,"Cook Inlet/VS GSM VII PCS, LLC",42,0,6962000,0.00,6962000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA336-C4,MTA013,BTA336,C4,0,10,"Orlando, FL","849,000.00","1,697,906.00",0,"Royal Street Communications, LLC",15,0,6566000,0.00,6566000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA336-C5,MTA013,BTA336,C5,0,10,"Orlando, FL","849,000.00","1,697,906.00",0,"Wirefree Partners III, LLC",14,0,8260000,0.25,6195000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA336-C3,MTA013,BTA336,C3,0,10,"Orlando, FL","849,000.00","1,697,906.00",0,"Cook Inlet/VS GSM VII PCS, LLC",14,0,5806000,0.00,5806000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA007-C5,MTA001,BTA007,C5,0,10,"Albany-Schenectady, NY","524,000.00","1,047,324.00",0,Cellco Partnership d/b/a Verizon Wireless,7,0,4816000,0.00,4816000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA263-C3,MTA026,BTA263,C3,0,10,"Louisville, KY","743,000.00","1,486,048.00",0,"Cook Inlet/VS GSM VII PCS, LLC",32,0,4797000,0.00,4797000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA263-C4,MTA026,BTA263,C4,0,10,"Louisville, KY","743,000.00","1,486,048.00",0,"Alaska Native Broadband 1 License, LLC",30,0,4442000,0.00,4442000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA212-C4,MTA037,BTA212,C4,0,10,"Jacksonville, FL","679,000.00","1,358,825.00",0,"Royal Street Communications, LLC",44,0,4026000,0.00,4026000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA364-C4,MTA008,BTA364,C4,0,10,"Providence-Pawtucket, RI-","791,000.00","1,582,997.00",0,"Cook Inlet/VS GSM VII PCS, LLC",2,0,3957000,0.00,3957000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA364-C3,MTA008,BTA364,C3,0,10,"Providence-Pawtucket, RI-","791,000.00","1,582,997.00",0,"Vista PCS, LLC",1,0,3957000,0.00,3957000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA212-C5,MTA037,BTA212,C5,0,10,"Jacksonville, FL","679,000.00","1,358,825.00",0,Peter T. Akemann,45,0,5143000,0.25,3857250
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA212-C3,MTA037,BTA212,C3,0,10,"Jacksonville, FL","679,000.00","1,358,825.00",0,"Cook Inlet/VS GSM VII PCS, LLC",3,0,3822000,0.00,3822000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA364-C5,MTA008,BTA364,C5,0,10,"Providence-Pawtucket, RI-","791,000.00","1,582,997.00",0,"Punxsutawney Communications, LLC",21,0,5061000,0.25,3795750
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA007-C3,MTA001,BTA007,C3,0,10,"Albany-Schenectady, NY","524,000.00","1,047,324.00",0,"Cook Inlet/VS GSM VII PCS, LLC",12,0,3509000,0.00,3509000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA318-C4,MTA001,BTA318,C4,0,10,"New Haven-Waterbury, CT","503,000.00","1,006,201.00",0,"Cook Inlet/VS GSM VII PCS, LLC",79,0,3445000,0.00,3445000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA007-C4,MTA001,BTA007,C4,0,10,"Albany-Schenectady, NY","524,000.00","1,047,324.00",0,"Vista PCS, LLC",14,0,3360000,0.00,3360000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA252-C5,MTA026,BTA252,C5,0,10,"Lexington, KY","464,000.00","927,633.00",0,Cellco Partnership d/b/a Verizon Wireless,38,0,3313000,0.00,3313000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA318-C3,MTA001,BTA318,C3,0,10,"New Haven-Waterbury, CT","503,000.00","1,006,201.00",0,"Vista PCS, LLC",77,0,3217000,0.00,3217000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA179-C4,MTA010,BTA179,C4,0,10,Hagerstown MD-Chambersburg PA,"183,000.00","366,345.00",0,"Vista PCS, LLC",72,0,3205000,0.00,3205000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA106-C4,MTA018,BTA106,C4,0,10,"Dayton-Springfield, OH","610,000.00","1,219,933.00",0,"Edge Mobile, LLC",7,0,3050000,0.00,3050000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA106-C3,MTA018,BTA106,C3,0,10,"Dayton-Springfield, OH","610,000.00","1,219,933.00",0,"Vista PCS, LLC",1,0,3050000,0.00,3050000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA318-C5,MTA001,BTA318,C5,0,10,"New Haven-Waterbury, CT","503,000.00","1,006,201.00",0,"Spotlight Media Corp., Inc.",90,0,3903000,0.25,2927250
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA268-C3,MTA033,BTA268,C3,0,10,"McAllen, TX","312,000.00","623,060.00",0,"Cook Inlet/VS GSM VII PCS, LLC",16,0,2814000,0.00,2814000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA179-C5,MTA010,BTA179,C5,0,10,Hagerstown MD-Chambersburg PA,"183,000.00","366,345.00",0,"Cook Inlet/VS GSM VII PCS, LLC",73,0,3713000,0.25,2784750
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA441-C5,MTA007,BTA441,C5,0,10,"Temple-Killeen, TX","177,000.00","354,952.00",0,"Cricket Licensee (Reauction), Inc.",38,0,2781000,0.00,2781000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA010-C4,MTA001,BTA010,C4,0,10,"Allentown-Bethlehem-Easton, PA","370,000.00","740,395.00",0,"Vista PCS, LLC",87,0,2699000,0.00,2699000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA268-C5,MTA033,BTA268,C5,0,10,"McAllen, TX","312,000.00","623,060.00",0,"Wirefree Partners III, LLC",52,0,3566000,0.25,2674500
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA441-C4,MTA007,BTA441,C4,0,10,"Temple-Killeen, TX","177,000.00","354,952.00",0,"Cook Inlet/VS GSM VII PCS, LLC",39,0,2608000,0.00,2608000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA106-C5,MTA018,BTA106,C5,0,10,"Dayton-Springfield, OH","610,000.00","1,219,933.00",0,"Wirefree Partners III, LLC",6,0,3393000,0.25,2544750
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA376-C5,MTA023,BTA376,C5,0,10,"Roanoke, VA","332,000.00","664,313.00",0,"Edge Mobile, LLC",89,0,2509000,0.00,2509000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA252-C4,MTA026,BTA252,C4,0,10,"Lexington, KY","464,000.00","927,633.00",0,"Alaska Native Broadband 1 License, LLC",25,0,2435000,0.00,2435000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA010-C5,MTA001,BTA010,C5,0,10,"Allentown-Bethlehem-Easton, PA","370,000.00","740,395.00",0,"Cook Inlet/VS GSM VII PCS, LLC",85,0,3210000,0.25,2407500
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA268-C4,MTA033,BTA268,C4,0,10,"McAllen, TX","312,000.00","623,060.00",0,"Punxsutawney Communications, LLC",14,0,2370000,0.00,2370000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA252-C3,MTA026,BTA252,C3,0,10,"Lexington, KY","464,000.00","927,633.00",0,"Cook Inlet/VS GSM VII PCS, LLC",3,0,2319000,0.00,2319000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA357-C5,MTA008,BTA357,C5,0,10,"Portland-Brunswick, ME","261,000.00","521,184.00",0,Cellco Partnership d/b/a Verizon Wireless,64,0,2105000,0.00,2105000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA376-C4,MTA023,BTA376,C4,0,10,"Roanoke, VA","332,000.00","664,313.00",0,"Vista PCS, LLC",49,0,1947000,0.00,1947000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA376-C3,MTA023,BTA376,C3,0,10,"Roanoke, VA","332,000.00","664,313.00",0,"Cook Inlet/VS GSM VII PCS, LLC",50,0,1945000,0.00,1945000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA480-C4,MTA008,BTA480,C4,0,10,"Worcester - Fitchburg, MA","375,000.00","750,963.00",0,"Punxsutawney Communications, LLC",58,0,1877000,0.00,1877000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA480-C3,MTA008,BTA480,C3,0,10,"Worcester - Fitchburg, MA","375,000.00","750,963.00",0,"Vista PCS, LLC",1,0,1877000,0.00,1877000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA412-C4,MTA001,BTA412,C4,0,10,"Scranton-Wilkes-Barre, PA","336,000.00","672,498.00",0,"Cook Inlet/VS GSM VII PCS, LLC",23,0,1786000,0.00,1786000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA274-C5,MTA008,BTA274,C5,0,10,"Manchester-Nashua-Concord, NH","309,000.00","617,057.00",0,Cellco Partnership d/b/a Verizon Wireless,17,0,1742000,0.00,1742000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA357-C4,MTA008,BTA357,C4,0,10,"Portland-Brunswick, ME","261,000.00","521,184.00",0,"Carroll Wireless, LP",66,0,1682000,0.00,1682000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA412-C3,MTA001,BTA412,C3,0,10,"Scranton-Wilkes-Barre, PA","336,000.00","672,498.00",0,"Vista PCS, LLC",1,0,1681000,0.00,1681000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA020-C4,MTA006,BTA020,C4,0,10,"Asheville-Hendersonville, NC","304,000.00","608,250.00",0,"Vista PCS, LLC",49,0,1597000,0.00,1597000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA020-C3,MTA006,BTA020,C3,0,10,"Asheville-Hendersonville, NC","304,000.00","608,250.00",0,"Carroll Wireless, LP",48,0,1597000,0.00,1597000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA408-C5,MTA013,BTA408,C5,0,10,"Sarasota-Bradenton, FL","311,000.00","622,168.00",0,"Edge Mobile, LLC",4,0,1555000,0.00,1555000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA274-C4,MTA008,BTA274,C4,0,10,"Manchester-Nashua-Concord, NH","309,000.00","617,057.00",0,"Cook Inlet/VS GSM VII PCS, LLC",66,0,1543000,0.00,1543000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA249-E,MTA008,BTA249,E,0,10,"Lebanon-Claremont, NH","90,000.00","179,619.00",0,"Vermont Telephone Company, Inc.",41,0,1509000,0.00,1509000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA412-C5,MTA001,BTA412,C5,0,10,"Scranton-Wilkes-Barre, PA","336,000.00","672,498.00",0,"Spotlight Media Corp., Inc.",26,0,1998000,0.25,1498500
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA089-C3,MTA022,BTA089,C3,0,10,"Colorado Springs, CO","269,000.00","537,484.00",0,"Alaska Native Broadband 1 License, LLC",28,0,1482000,0.00,1482000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA089-C4,MTA022,BTA089,C4,0,10,"Colorado Springs, CO","269,000.00","537,484.00",0,"Edge Mobile, LLC",15,0,1411000,0.00,1411000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA480-C5,MTA008,BTA480,C5,0,10,"Worcester - Fitchburg, MA","375,000.00","750,963.00",0,"Cook Inlet/VS GSM VII PCS, LLC",9,0,1877000,0.25,1407750
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA135-C3,MTA026,BTA135,C3,0,10,"Evansville, IN","262,000.00","523,510.00",0,"Vista PCS, LLC",61,0,1309000,0.00,1309000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA089-C5,MTA022,BTA089,C5,0,10,"Colorado Springs, CO","269,000.00","537,484.00",0,Peter T. Akemann,27,0,1649000,0.25,1236750
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA090-F,MTA019,BTA090,F,0,10,"Columbia, MO","108,000.00","216,756.00",0,Cellco Partnership d/b/a Verizon Wireless,63,0,1155000,0.00,1155000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA451-F,MTA036,BTA451,F,0,10,"Twin Falls, ID","81,000.00","162,397.00",0,"Edge Mobile, LLC",7,0,1134000,0.00,1134000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA366-E,MTA022,BTA366,E,0,10,"Pueblo, CO (Partial Market)","65,000.00","130,554.00",0,"N.E. Colorado Wireless Technologies, Inc.",66,0,1065000,0.00,1065000
58,"Broadband PCS - C, D, E, F Blocks",CW-MTA050-A,NWA255,MTA050,A,0,30,Guam-Northern Mariana Islands,"336,000.00","224,026.00",0,"GTE Pacifica, Inc. d/b/a Verizon Pacifica",1,0,1008000,0.00,1008000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA235-C5,MTA031,BTA235,C5,0,10,"Lafayette, IN","138,000.00","275,303.00",0,Centennial Michiana License Company LLC,46,0,949000,0.00,949000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA353-F,MTA036,BTA353,F,0,10,"Pocatello, ID","50,000.00","100,943.00",0,"Edge Mobile, LLC",12,0,944000,0.00,944000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA361-C5,MTA001,BTA361,C5,0,10,"Poughkeepsie-Kingston, NY","229,000.00","457,899.00",0,"Edge Mobile, LLC",40,0,875000,0.00,875000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA056-C4,MTA033,BTA056,C4,0,10,"Brownsville-Harlingen, TX","178,000.00","355,309.00",0,"Cook Inlet/VS GSM VII PCS, LLC",36,0,835000,0.00,835000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA491-F,MTA025,BTA491,F,0,10,U.S. Virgin Islands,"54,000.00","108,612.00",0,"Wirefree Partners III, LLC",40,0,1104000,0.25,828000
