BID_TYPE,MARKET,FREQ_BLOCK,ROUND_NUM,BID_AMT,NAME,FCC_ACCOUN,THEDATE,THETIME
High,M015,B,86,126020126,"PCS PRIMECO, L.P.",2022933800,23-2-95,10:04:14
High,M016,A,86,87000000,Ameritech Wireless Communicati,363982954,23-2-95,09:46:17
High,M016,B,87,85881000,AT&T Wireless PCS Inc.,223330080,23-2-95,15:07:26
High,M017,A,99,93949001,"WirelessCo, L.P.",2028287453,3-3-95,15:51:35
High,M017,B,97,89475484,"PCS PRIMECO, L.P.",2022933800,2-3-95,15:24:06
High,M018,A,87,41932000,AT&T Wireless PCS Inc.,223330080,23-2-95,15:07:26
High,M018,B,111,42733483,GTE Macro Communications Corpo,582107997,13-3-95,12:11:13
High,M019,A,91,118836000,AT&T Wireless PCS Inc.,223330080,27-2-95,15:10:36
High,M019,B,92,114325789,"WirelessCo, L.P.",2028287453,28-2-95,10:19:57
High,M020,A,111,85043289,"WirelessCo, L.P.",2028287453,13-3-95,12:27:17
High,M020,B,98,86000001,"PCS PRIMECO, L.P.",2022933800,3-3-95,10:04:04
High,M021,A,79,28719362,"WirelessCo, L.P.",2028287453,16-2-95,15:45:04
High,M021,B,110,31665837,American Portable Telecommunic,391706857,13-3-95,09:18:49
High,M022,A,109,64436000,"WirelessCo, L.P.",2028287453,10-3-95,14:55:29
High,M022,B,110,64502483,GTE Macro Communications Corpo,582107997,13-3-95,09:04:52
High,M023,A,58,33652000,AT&T Wireless PCS Inc.,223330080,31-1-95,14:34:38
High,M023,B,52,33045045,"PCS PRIMECO, L.P.",2022933800,26-1-95,15:05:36
High,M024,A,101,106355002,GTE Macro Communications Corpo,582107997,6-3-95,14:14:36
High,M024,B,100,105163484,"WirelessCo, L.P.",2028287453,6-3-95,10:20:24
High,M025,A,46,56899000,AT&T Wireless PCS Inc.,223330080,23-1-95,14:33:38
High,M025,B,47,54672000,Centennial Cellular Corp.,61242753,24-1-95,10:01:44
High,M026,A,104,49262000,AT&T Wireless PCS Inc.,223330080,8-3-95,09:35:04
High,M026,B,106,46577000,"WirelessCo, L.P.",2028287453,9-3-95,09:55:57
High,M027,A,95,78347000,AT&T Wireless PCS Inc.,223330080,1-3-95,15:12:13
High,M027,B,96,75608434,"WirelessCo, L.P.",2028287453,2-3-95,10:19:55
High,M028,A,89,43169000,"Powertel PCS Partners, L.P.",2056449400,24-2-95,15:07:05
High,M028,B,87,43168314,Southwestern Bell Mobile Syste,751905705,23-2-95,15:09:20
High,M029,A,84,35597000,"WirelessCo, L.P.",2028287453,22-2-95,10:22:48
High,M029,B,85,35278000,"Powertel PCS Partners, L.P.",2056449400,22-2-95,15:02:57
High,M030,A,99,34155030,Western PCS Corporation,911658114,3-3-95,15:26:24
High,M030,B,98,34139785,"WirelessCo, L.P.",2028287453,3-3-95,10:24:22
High,M031,A,80,70433000,"WirelessCo, L.P.",2028287453,17-2-95,10:15:00
High,M031,B,81,71100000,Ameritech Wireless Communicati,363982954,17-2-95,15:12:44
High,M032,A,83,22100031,Western PCS Corporation,911658114,21-2-95,15:35:10
High,M032,B,81,21042973,"WirelessCo, L.P.",2028287453,17-2-95,15:45:01
High,M033,A,105,54394123,"WirelessCo, L.P.",2028287453,8-3-95,14:47:57
High,M033,B,104,51950059,"PCS PRIMECO, L.P.",2022933800,8-3-95,10:00:46
High,M034,A,92,23619168,"WirelessCo, L.P.",2028287453,28-2-95,10:19:57
High,M034,B,110,23611837,American Portable Telecommunic,391706857,13-3-95,09:18:49
High,M035,A,81,18893000,"WirelessCo, L.P.",2028287453,17-2-95,15:45:01
High,M035,B,82,19864000,AT&T Wireless PCS Inc.,223330080,21-2-95,09:33:49
High,M036,A,104,45847030,Western PCS Corporation,911658114,8-3-95,10:02:15
High,M036,B,105,46179852,"WirelessCo, L.P.",2028287453,8-3-95,14:47:57
High,M037,A,110,46000000,"Powertel PCS Partners, L.P.",2056449400,13-3-95,09:03:29
High,M037,B,108,44500544,"PCS PRIMECO, L.P.",2022933800,10-3-95,09:40:32
High,M038,A,101,22290000,AT&T Wireless PCS Inc.,223330080,6-3-95,14:10:15
High,M038,B,102,22176837,American Portable Telecommunic,391706857,7-3-95,09:57:56
High,M039,A,89,8634030,Western PCS Corporation,911658114,24-2-95,15:30:31
High,M039,B,88,8634000,AT&T Wireless PCS Inc.,223330080,24-2-95,09:37:15
High,M040,A,99,12732501,Southwestern Bell Mobile Syste,751905705,3-3-95,15:02:46
High,M040,B,98,12321000,"WirelessCo, L.P.",2028287453,3-3-95,10:24:22
High,M041,A,111,11111111,Western PCS Corporation,911658114,13-3-95,12:29:32
High,M041,B,81,13142346,"WirelessCo, L.P.",2028287453,17-2-95,15:45:01
High,M042,A,50,5688000,Poka Lambro Telephone Cooperat,750806646,25-1-95,15:18:21
High,M042,B,86,6191000,"WirelessCo, L.P.",2028287453,23-2-95,10:21:03
High,M043,A,86,16374000,"WirelessCo, L.P.",2028287453,23-2-95,10:21:03
High,M043,B,87,15810000,AT&T Wireless PCS Inc.,223330080,23-2-95,15:07:26
High,M044,A,80,10635000,AT&T Wireless PCS Inc.,223330080,17-2-95,09:48:42
High,M044,B,82,11149000,BellSouth Personal Communicati,582067615,21-2-95,09:36:11
High,M045,A,65,4647000,AT&T Wireless PCS Inc.,223330080,6-2-95,10:02:15
High,M045,B,80,5078000,"Cox Cable Communications, Inc.",582112281,17-2-95,09:41:49
High,M046,A,65,4393000,AT&T Wireless PCS Inc.,223330080,6-2-95,10:02:15
High,M046,B,27,4901343,"WirelessCo, L.P.",2028287453,9-1-95,10:18:13
High,M047,A,108,22361030,Western PCS Corporation,911658114,10-3-95,10:12:02
High,M047,B,107,21675432,"PCS PRIMECO, L.P.",2022933800,9-3-95,14:18:21
High,M048,A,106,17562369,Southwestern Bell Mobile Syste,751905705,9-3-95,09:43:25
High,M048,B,105,16801654,"WirelessCo, L.P.",2028287453,8-3-95,14:47:57
High,M049,A,111,1000000,American Portable Telecommunic,391706857,13-3-95,12:13:56
High,M049,B,89,1650129,GCI Communication Corp.,920072737,24-2-95,15:08:30
High,M050,A,67,107000,Poka Lambro Telephone Cooperat,750806646,8-2-95,09:38:31
High,M050,B,103,141837,American Portable Telecommunic,391706857,7-3-95,14:28:49
High,M051,A,106,214555,South Seas Satellite Communica,7144994469,9-3-95,09:36:10
High,M051,B,108,228001,Communications International C,911650173,10-3-95,09:33:19
All,,,112,0,No new bids,,,
