Auction_Desc,Auction_id,Round,bip_id,Block,License Size (Mhz),Major Grouping,Minor Grouping,Market Name,Expr1009,BUs,bidder_name,Entrep,Round of High Bid,bid_amt,net_bid_amt,Bidding Credit,Increments of Bid,Prev High Bidder,Round of Prev High Bid,Prev Gross,Prev Net,Prev Bidding Credit,hhbidder,Number of Bids,MX_Grp,MX_Num,Population,Open or Closed Bidding,OorC
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA012-C1,C ,15,MTA021,BTA012,"Altoona, PA",222625,28000,"Salmon PCS, LLC",X,69,925000,925000,0.25,0,"NTCH, Inc.",68,"$860,000.00","$860,000.00",0.25,"Salmon PCS, LLC",0,FM,0,222625,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA020-C3,C ,10,MTA006,BTA020,"Asheville, NC",510055,77000,Lafayette Communications Company L.L.C.,X,56,5936000,5936000,0.15,0,"Leap Wireless International, Inc.",55,"$5,447,000.00","$5,447,000.00",0.25,Lafayette Communications Company L.L.C.,0,FM,0,510055,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA020-C4,C ,10,MTA006,BTA020,"Asheville, NC",510055,77000,"Cook Inlet/VS GSM V PCS, LLC",X,53,6457000,6457000,0,0,Lafayette Communications Company L.L.C.,52,"$5,979,000.00","$5,979,000.00",0.15,"Cook Inlet/VS GSM V PCS, LLC",0,FM,0,510055,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA020-C5,C ,10,MTA006,BTA020,"Asheville, NC",510055,77000,"Leap Wireless International, Inc.",X,57,7825000,5868750,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",36,"$7,452,000.00","$7,452,000.00",0,"Leap Wireless International, Inc.",0,FM,0,510055,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA020F,F ,10,MTA006,BTA020,"Asheville, NC",510055,77000,"Cellco Partnership, d/b/a Verizon Wireless", ,46,7535000,7535000,0,0,VoiceStream PCS BTA I License Corporation,34,"$7,176,000.00","$7,176,000.00",0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,510055,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA022F,F ,10,MTA011,BTA022,"Athens, GA",166030,60000,Lafayette Communications Company L.L.C.,X,62,5467000,4646950,0.15,0,"Cellco Partnership, d/b/a Verizon Wireless",61,"$4,970,000.00","$4,970,000.00",0,Lafayette Communications Company L.L.C.,0,FM,0,166030,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA024F,F ,10,MTA011,BTA024,"Atlanta, GA",3197171,3186000,"Salmon PCS, LLC",X,32,429311000,321983250,0.25,0,"Alaska Native Wireless, L.L.C.",31,#############,#############,0.25,"Salmon PCS, LLC",0,FM,0,3197171,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA025F,F ,10,MTA009,BTA025,"Atlantic City, NJ",319416,146000,"Cellco Partnership, d/b/a Verizon Wireless", ,40,6793000,6793000,0,0,VINCENT D. McBRIDE,38,"$6,386,000.00","$4,789,500.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,319416,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA027-C3,C ,10,MTA007,BTA027,"Austin, TX",899361,492000,"Leap Wireless International, Inc.",X,38,22201000,22201000,0.25,0,"Alaska Native Wireless, L.L.C.",37,"$20,652,000.00","$20,652,000.00",0.25,"Leap Wireless International, Inc.",0,FM,0,899361,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA027-C4,C ,10,MTA007,BTA027,"Austin, TX",899361,492000,"Cook Inlet/VS GSM V PCS, LLC",X,30,21649000,21649000,0,0,"Leap Wireless International, Inc.",29,"$20,121,000.00","$20,121,000.00",0.25,"Cook Inlet/VS GSM V PCS, LLC",0,FM,0,899361,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA027-C5,C ,10,MTA007,BTA027,"Austin, TX",899361,492000,"Cellco Partnership, d/b/a Verizon Wireless", ,36,34081000,34081000,0,0,"Leap Wireless International, Inc.",35,"$31,291,000.00","$23,468,250.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,899361,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA029-C3,C ,10,MTA010,BTA029,"Baltimore, MD",2430563,941000,"Cook Inlet/VS GSM V PCS, LLC",X,33,37653000,37653000,0,0,"Leap Wireless International, Inc.",30,"$35,647,000.00","$35,647,000.00",0.25,"Cook Inlet/VS GSM V PCS, LLC",0,FM,0,2430563,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA029-C4,C ,10,MTA010,BTA029,"Baltimore, MD",2430563,941000,"DCC PCS, Inc.",X,35,39143000,39143000,0,0,"Leap Wireless International, Inc.",32,"$36,990,000.00","$36,990,000.00",0.25,"DCC PCS, Inc.",0,FM,0,2430563,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA029-C5,C ,10,MTA010,BTA029,"Baltimore, MD",2430563,941000,"Salmon PCS, LLC",X,31,47050000,35287500,0.25,0,"DCC PCS, Inc.",30,"$42,651,000.00","$42,651,000.00",0,"Salmon PCS, LLC",0,FM,0,2430563,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA030-C1,C ,15,MTA008,BTA030,"Bangor, ME",316838,52000,"Salmon PCS, LLC",X,21,3736000,3736000,0.25,0,"Coloma Spectrum, LLC",20,"$3,392,000.00","$3,392,000.00",0.25,"Salmon PCS, LLC",0,FM,0,316838,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA036-C3,C ,10,MTA024,BTA036,"Bellingham, WA",127780,61000,"Alaska Native Wireless, L.L.C.",X,42,657000,657000,0.25,0,VINCENT D. McBRIDE,41,"$610,000.00","$610,000.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,127780,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA036-C4,C ,10,MTA024,BTA036,"Bellingham, WA",127780,61000,"Cook Inlet/VS GSM V PCS, LLC",X,39,687000,687000,0,0,"MilkyWay Broadband, LLC",38,"$636,000.00","$636,000.00",0.25,"Cook Inlet/VS GSM V PCS, LLC",0,FM,0,127780,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA036-C5,C ,10,MTA024,BTA036,"Bellingham, WA",127780,61000,"Cellco Partnership, d/b/a Verizon Wireless", ,30,898000,898000,0,0,VoiceStream PCS BTA I License Corporation,27,"$847,000.00","$847,000.00",0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,127780,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA043-C1,C ,15,MTA001,BTA043,"Binghamton, NY",356645,86000,"TPS Utilicom, Inc.",X,67,5356000,5356000,0.25,0,"Leap Wireless International, Inc.",64,"$5,047,000.00","$5,047,000.00",0.25,"TPS Utilicom, Inc.",0,FM,0,356645,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA043-C2,C ,15,MTA001,BTA043,"Binghamton, NY",356645,86000,"Cellco Partnership, d/b/a Verizon Wireless", ,66,7284000,7284000,0,0,"TPS Utilicom, Inc.",65,"$6,761,000.00","$5,070,750.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,356645,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA045-C3,C ,10,MTA012,BTA045,"Bismark, ND",123682,5600,"Alaska Native Wireless, L.L.C.",X,57,859000,644250,0.25,0,"Commnet PCS, Inc.",56,"$798,000.00","$598,500.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,123682,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA045-C4,C ,10,MTA012,BTA045,"Bismark, ND",123682,5600,"Summit Wireless, LLC",X,55,810000,607500,0.25,0,"Commnet PCS, Inc.",54,"$753,000.00","$564,750.00",0.25,"Summit Wireless, LLC",0,FM,0,123682,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA045-C5,C ,10,MTA012,BTA045,"Bismark, ND",123682,5600,"Commnet PCS, Inc.",X,58,798000,598500,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",53,"$758,000.00","$758,000.00",0,"Commnet PCS, Inc.",0,FM,0,123682,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA047-C3,C ,10,MTA031,BTA047,"Bloomington, IN",217914,57000,"3DL Wireless, LLC",X,90,1973000,1973000,0.25,0,"Black Crow Wireless, L.P.",84,"$1,876,000.00","$1,876,000.00",0.25,"3DL Wireless, LLC",0,FM,0,217914,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA047-C4,C ,10,MTA031,BTA047,"Bloomington, IN",217914,57000,"Black Crow Wireless, L.P.",X,89,2161000,2161000,0.25,0,"3DL Wireless, LLC",88,"$1,908,000.00","$1,908,000.00",0.25,"Black Crow Wireless, L.P.",0,FM,0,217914,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA047-C5,C ,10,MTA031,BTA047,"Bloomington, IN",217914,57000,"Cellco Partnership, d/b/a Verizon Wireless", ,80,1696000,1696000,0,0,Mint GSM Services Inc.,79,"$1,414,000.00","$1,060,500.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,217914,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA050F,F ,10,MTA036,BTA050,"Boise, ID",416503,77000,"Salmon PCS, LLC",X,63,33653000,25239750,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",36,"$32,050,000.00","$32,050,000.00",0,"Salmon PCS, LLC",0,FM,0,416503,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA051-C3,C ,10,MTA008,BTA051,"Boston, MA",4133895,3699000,"Salmon PCS, LLC",X,28,125092000,125092000,0.25,0,"Cook Inlet/VS GSM V PCS, LLC",27,#############,#############,0,"Salmon PCS, LLC",0,FM,0,4133895,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA051-C4,C ,10,MTA008,BTA051,"Boston, MA",4133895,3699000,"Cellco Partnership, d/b/a Verizon Wireless", ,19,191599000,191599000,0,0,"Alaska Native Wireless, L.L.C.",18,#############,#############,0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,4133895,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA051-C5,C ,10,MTA008,BTA051,"Boston, MA",4133895,3699000,"Cellco Partnership, d/b/a Verizon Wireless", ,22,212080000,212080000,0,0,VoiceStream PCS BTA I License Corporation,21,#############,#############,0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,4133895,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA055-C2,C ,15,MTA024,BTA055,"Bremerton, WA",189731,115000,"Cellco Partnership, d/b/a Verizon Wireless", ,67,10108000,10108000,0,0,VoiceStream PCS BTA I License Corporation,58,"$9,625,000.00","$9,625,000.00",0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,189731,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA056-C3,C ,10,MTA033,BTA056,"Brownsville, TX",277825,132000,"DCC PCS, Inc.",X,80,4029000,4029000,0,0,"Cook Inlet/VS GSM V PCS, LLC",79,"$3,746,000.00","$3,746,000.00",0,"DCC PCS, Inc.",0,FM,0,277825,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA056-C4,C ,10,MTA033,BTA056,"Brownsville, TX",277825,132000,"Leap Wireless International, Inc.",X,74,3631000,3631000,0.25,0,"Leap Wireless International, Inc.",72,"$3,417,000.00","$3,417,000.00",0.25,"Leap Wireless International, Inc.",0,FM,0,277825,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA056-C5,C ,10,MTA033,BTA056,"Brownsville, TX",277825,132000,"Cellco Partnership, d/b/a Verizon Wireless", ,71,5111000,5111000,0,0,"Leap Wireless International, Inc.",70,"$4,445,000.00","$3,333,750.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,277825,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA059-C3,C ,10,MTA014,BTA059,"Bryan, TX",150998,44000,"Leap Wireless International, Inc.",X,59,1034000,1034000,0.25,0,"DCC PCS, Inc.",57,"$914,000.00","$914,000.00",0,"Leap Wireless International, Inc.",0,FM,0,150998,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA059-C4,C ,10,MTA014,BTA059,"Bryan, TX",150998,44000,"DCC PCS, Inc.",X,60,975000,975000,0,0,"Global Telecommunications, Inc.",58,"$915,000.00","$915,000.00",0.25,"DCC PCS, Inc.",0,FM,0,150998,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA059-C5,C ,10,MTA014,BTA059,"Bryan, TX",150998,44000,"Cellco Partnership, d/b/a Verizon Wireless", ,50,1246000,1246000,0,0,"Ah! Wireless, L.L.C.",49,"$1,123,000.00","$842,250.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,150998,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA062-C3,C ,10,MTA006,BTA062,"Burlington, NC",108213,17000,"3G PCS, LLC",X,79,290000,290000,0.25,0,Scott  Reiter,78,"$270,000.00","$270,000.00",0.25,"3G PCS, LLC",0,FM,0,108213,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA062-C4,C ,10,MTA006,BTA062,"Burlington, NC",108213,17000,"Cook Inlet/VS GSM V PCS, LLC",X,82,306000,306000,0,0,"Leap Wireless International, Inc.",81,"$285,000.00","$285,000.00",0.25,"Cook Inlet/VS GSM V PCS, LLC",0,FM,0,108213,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA062-C5,C ,10,MTA006,BTA062,"Burlington, NC",108213,17000,Mint GSM Services Inc.,X,81,390000,292500,0.25,0,Scott  Reiter,80,"$361,000.00","$270,750.00",0.25,Mint GSM Services Inc.,0,FM,0,108213,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA062F,F ,10,MTA006,BTA062,"Burlington, NC",108213,17000,"Cellco Partnership, d/b/a Verizon Wireless", ,75,386000,386000,0,0,Scott  Reiter,74,"$314,000.00","$235,500.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,108213,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA063-C1,C ,15,MTA001,BTA063,"Burlington, VT",369128,109000,"Alaska Native Wireless, L.L.C.",X,23,4629000,4629000,0.25,0,"3G PCS, LLC",22,"$4,034,000.00","$4,034,000.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,369128,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA063-C2,C ,15,MTA001,BTA063,"Burlington, VT",369128,109000,"Cellco Partnership, d/b/a Verizon Wireless", ,34,7367000,7367000,0,0,FCC,33,$0.00,$0.00,0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,369128,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA064-C3,C ,10,MTA042,BTA064,"Butte, MT",65252,2600,VoiceStream PCS BTA I License Corporation, ,44,308000,308000,0,0,"Summit Wireless, LLC",33,"$293,000.00","$219,750.00",0.25,VoiceStream PCS BTA I License Corporation,0,FM,0,65252,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA064-C4,C ,10,MTA042,BTA064,"Butte, MT",65252,2600,"Alaska Native Wireless, L.L.C.",X,25,286000,214500,0.25,0,"Summit Wireless, LLC",24,"$254,000.00","$190,500.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,65252,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA064-C5,C ,10,MTA042,BTA064,"Butte, MT",65252,2600,"NTCH, Inc.",X,40,295000,221250,0.25,0,VoiceStream PCS BTA I License Corporation,32,"$281,000.00","$281,000.00",0,"NTCH, Inc.",0,FM,0,65252,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA067-C3,C ,10,MTA019,BTA067,"Carbondale, IL",209497,24000,"DEVTEL, LLC",X,94,854000,640500,0.25,0,Scott  Reiter,92,"$801,000.00","$600,750.00",0.25,"DEVTEL, LLC",0,FM,0,209497,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA067-C4,C ,10,MTA019,BTA067,"Carbondale, IL",209497,24000,"Salmon PCS, LLC",X,91,826000,619500,0.25,0,Scott  Reiter,88,"$740,000.00","$555,000.00",0.25,"Salmon PCS, LLC",0,FM,0,209497,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA067-C5,C ,10,MTA019,BTA067,"Carbondale, IL",209497,24000,"Polycell Communications, Inc.",X,93,801000,600750,0.25,0,"DEVTEL, LLC",89,"$760,000.00","$570,000.00",0.25,"Polycell Communications, Inc.",0,FM,0,209497,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA072F,F ,10,MTA006,BTA072,"Charleston, SC",624369,250000,VoiceStream PCS BTA I License Corporation, ,45,36018000,36018000,0,0,Lafayette Communications Company L.L.C.,44,"$33,108,000.00","$28,141,800.00",0.15,VoiceStream PCS BTA I License Corporation,0,FM,0,624369,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA074-C3,C ,10,MTA006,BTA074,"Charlotte, NC",1671037,837000,"Alaska Native Wireless, L.L.C.",X,37,73402000,73402000,0.25,0,"Black Crow Wireless, L.P.",36,"$68,268,000.00","$68,268,000.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,1671037,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA074-C4,C ,10,MTA006,BTA074,"Charlotte, NC",1671037,837000,"Cook Inlet/VS GSM V PCS, LLC",X,41,82189000,82189000,0,0,"Black Crow Wireless, L.P.",40,"$76,390,000.00","$76,390,000.00",0.25,"Cook Inlet/VS GSM V PCS, LLC",0,FM,0,1671037,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA074-C5,C ,10,MTA006,BTA074,"Charlotte, NC",1671037,837000,"Cellco Partnership, d/b/a Verizon Wireless", ,45,120510000,120510000,0,0,VoiceStream PCS BTA I License Corporation,44,#############,#############,0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,1671037,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA075F,F ,10,MTA010,BTA075,"Charlottesville, VA",190128,74000,"Salmon PCS, LLC",X,67,22401000,16800750,0.25,0,Lafayette Communications Company L.L.C.,66,"$20,423,000.00","$17,359,550.00",0.15,"Salmon PCS, LLC",0,FM,0,190128,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA077-C3,C ,10,MTA022,BTA077,"Cheyenne, WY",103939,37000,"Alaska Native Wireless, L.L.C.",X,99,3707000,2780250,0.25,0,"Summit Wireless, LLC",98,"$3,447,000.00","$2,585,250.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,103939,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA077-C4,C ,10,MTA022,BTA077,"Cheyenne, WY",103939,37000,"Salmon PCS, LLC",X,93,3452000,2589000,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",89,"$3,273,000.00","$3,273,000.00",0,"Salmon PCS, LLC",0,FM,0,103939,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA077-C5,C ,10,MTA022,BTA077,"Cheyenne, WY",103939,37000,"Cellco Partnership, d/b/a Verizon Wireless", ,97,3585000,3585000,0,0,"Summit Wireless, LLC",92,"$3,409,000.00","$2,556,750.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,103939,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA078F,F ,10,MTA003,BTA078,"Chicago, IL",8182076,7376000,"Cellco Partnership, d/b/a Verizon Wireless", ,19,494612000,494612000,0,0,"Salmon PCS, LLC",18,#############,#############,0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,8182076,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA081-C3,C ,10,MTA018,BTA081,"Cincinnati, OH",1990451,694000,"SVC BidCo, L.P.",X,38,57427000,57427000,0,0,"Alaska Native Wireless, L.L.C.",33,"$54,607,000.00","$54,607,000.00",0.25,"SVC BidCo, L.P.",0,FM,0,1990451,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA081-C4,C ,10,MTA018,BTA081,"Cincinnati, OH",1990451,694000,"Alaska Native Wireless, L.L.C.",X,37,56201000,56201000,0.25,0,"SVC BidCo, L.P.",34,"$53,125,000.00","$53,125,000.00",0,"Alaska Native Wireless, L.L.C.",0,FM,0,1990451,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA081-C5,C ,10,MTA018,BTA081,"Cincinnati, OH",1990451,694000,"NORTHCOAST COMMUNICATIONS, L.L.C.",X,35,67120000,50340000,0.25,0,"Leap Wireless International, Inc.",29,"$63,869,000.00","$47,901,750.00",0.25,"NORTHCOAST COMMUNICATIONS, L.L.C.",0,FM,0,1990451,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA084-C3,C ,10,MTA016,BTA084,"Cleveland, OH",2894133,2059000,"Alaska Native Wireless, L.L.C.",X,14,72736000,72736000,0.25,0,"Connectbid, LLC",13,"$64,298,000.00","$64,298,000.00",0,"Alaska Native Wireless, L.L.C.",0,FM,0,2894133,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA084-C4,C ,10,MTA016,BTA084,"Cleveland, OH",2894133,2059000,"Cellco Partnership, d/b/a Verizon Wireless", ,14,79818000,79818000,0,0,VoiceStream PCS BTA I License Corporation,13,"$64,298,000.00","$64,298,000.00",0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,2894133,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA084-C5,C ,10,MTA016,BTA084,"Cleveland, OH",2894133,2059000,VoiceStream PCS BTA I License Corporation, ,16,87715000,87715000,0,0,"Cellco Partnership, d/b/a Verizon Wireless",14,"$77,797,000.00","$77,797,000.00",0,VoiceStream PCS BTA I License Corporation,0,FM,0,2894133,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA085-C3,C ,10,MTA011,BTA085,"Cleveland, TN",87355,5100,Scott  Reiter,X,98,298000,298000,0.25,0,"NTCH, Inc.",83,"$284,000.00","$284,000.00",0.25,Scott  Reiter,0,FM,0,87355,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA085-C4,C ,10,MTA011,BTA085,"Cleveland, TN",87355,5100,"Black Crow Wireless, L.P.",X,97,306000,306000,0.25,0,Scott  Reiter,96,"$285,000.00","$285,000.00",0.25,"Black Crow Wireless, L.P.",0,FM,0,87355,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA085-C5,C ,10,MTA011,BTA085,"Cleveland, TN",87355,5100,"Salmon PCS, LLC",X,80,397000,297750,0.25,0,Scott  Reiter,78,"$328,000.00","$246,000.00",0.25,"Salmon PCS, LLC",0,FM,0,87355,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA091F,F ,10,MTA006,BTA091,"Columbia, SC",568754,221000,VoiceStream PCS BTA I License Corporation, ,37,34991000,34991000,0,0,"Cellco Partnership, d/b/a Verizon Wireless",36,"$31,991,000.00","$31,991,000.00",0,VoiceStream PCS BTA I License Corporation,0,FM,0,568754,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA093-C3,C ,10,MTA031,BTA093,"Columbus, IN",139128,12000,Scott  Reiter,X,99,437000,437000,0.25,0,"3DL Wireless, LLC",96,"$411,000.00","$411,000.00",0.25,Scott  Reiter,0,FM,0,139128,Closed,C
