auction_id	auction_description	round	item_name	item_description	pwb_amount	net_pwb_amount	pw_bidder	round_of_pwb	previous_pw_bidder	round_of_previous_pwb	previous_pwb_amount	previous_net_pwb_amount
73	700 MHz Band	261	WY-BEA056-A	Toledo OH	3620000.00	2715000.00	Cavalier Wireless, LLC	26	Triad 700, LLC	25	3291000.00	 	
73	700 MHz Band	261	WY-BEA057-A	Detroit-Ann Arbor-Flint MI	79490000.00	79490000.00	Cellco Partnership d/b/a Verizon Wireless	17	Bluewater Wireless, L.P.	16	66242000.00	 	
73	700 MHz Band	261	WY-BEA058-A	Northern Michigan MI	450000.00	450000.00	CenturyTel Broadband Wireless LLC	74	NSIGHTTEL WIRELESS, LLC	29	441000.00	 	
73	700 MHz Band	261	WY-BEA059-A	Green Bay WI-MI	12170000.00	12170000.00	CenturyTel Broadband Wireless LLC	35	King Street Wireless, L.P.	34	11702000.00	 	
73	700 MHz Band	261	WY-BEA060-A	Appleton-Oshkosh-Neenah WI	6831000.00	5123250.00	King Street Wireless, L.P.	40	CenturyTel Broadband Wireless LLC	39	6568000.00	 	
73	700 MHz Band	261	WY-BEA061-A	Traverse City MI	718000.00	718000.00	CenturyTel Broadband Wireless LLC	27	Cavalier Wireless, LLC	26	653000.00	 	
73	700 MHz Band	261	WY-BEA062-A	Grand Rapids-Muskegon MI	13555000.00	13555000.00	Cellco Partnership d/b/a Verizon Wireless	14	MetroPCS 700 MHz, LLC	13	11296000.00	 	
73	700 MHz Band	261	WY-BEA063-A	Milwaukee-Racine WI	17760000.00	13320000.00	King Street Wireless, L.P.	35	Cellco Partnership d/b/a Verizon Wireless	21	17412000.00	 	
73	700 MHz Band	261	WY-BEA064-A	Chicago-Gary-Kenosha IL-IN-WI	152532000.00	152532000.00	Cellco Partnership d/b/a Verizon Wireless	20	Bluewater Wireless, L.P.	19	138756000.00	 	
73	700 MHz Band	261	WY-BEA065-A	Elkhart-Goshen IN-MI	3797000.00	2847750.00	King Street Wireless, L.P.	87	I-700, LLC	86	3651000.00	 	
73	700 MHz Band	261	WY-BEA066-A	Fort Wayne IN	2306000.00	1729500.00	King Street Wireless, L.P.	94	I-700, LLC	93	2218000.00	 	
73	700 MHz Band	261	WY-BEA067-A	Indianapolis IN-IL	31858000.00	31858000.00	Cellco Partnership d/b/a Verizon Wireless	24	King Street Wireless, L.P.	23	28446000.00	 	
73	700 MHz Band	261	WY-BEA068-A	Champaign-Urbana IL	4538000.00	3403500.00	King Street Wireless, L.P.	51	I-700, LLC	50	4363000.00	 	
73	700 MHz Band	261	WY-BEA069-A	Evansville-Henderson IN-KY-IL	1727000.00	1727000.00	I-700, LLC	95	Cavalier Wireless, LLC	94	1670000.00	 	
73	700 MHz Band	261	WY-BEA070-A	Louisville KY-IN	3620000.00	2715000.00	Cavalier Wireless, LLC	75	Continuum 700 LLC	74	3501000.00	 	
73	700 MHz Band	261	WY-BEA071-A	Nashville TN-KY	49201000.00	49201000.00	Cellular South Licenses, Inc.	27	Cellco Partnership d/b/a Verizon Wireless	26	44728000.00	 	
73	700 MHz Band	261	WY-BEA072-A	Paducah KY-IL	441000.00	441000.00	I-700, LLC	149	Cellular South Licenses, Inc.	148	424000.00	 	
73	700 MHz Band	261	WY-BEA073-A	Memphis TN-AR-MS-KY	25228000.00	25228000.00	Cellular South Licenses, Inc.	26	Cellco Partnership d/b/a Verizon Wireless	25	23251000.00	 	
73	700 MHz Band	261	WY-BEA074-A	Huntsville AL-TN	15851000.00	15851000.00	Cellular South Licenses, Inc.	20	CenturyTel Broadband Wireless LLC	19	14387000.00	 	
73	700 MHz Band	261	WY-BEA075-A	Tupelo MS-AL-TN	5219000.00	5219000.00	Cellular South Licenses, Inc.	73	CenturyTel Broadband Wireless LLC	70	5108000.00	 	
73	700 MHz Band	261	WY-BEA076-A	Greenville MS	1971000.00	1971000.00	Cellular South Licenses, Inc.	73	CenturyTel Broadband Wireless LLC	70	1929000.00	 	
73	700 MHz Band	261	WY-BEA077-A	Jackson MS-AL-LA	12790000.00	12790000.00	Cellular South Licenses, Inc.	20	CenturyTel Broadband Wireless LLC	19	11658000.00	 	
73	700 MHz Band	261	WY-BEA078-A	Birmingham AL	15856000.00	15856000.00	Cellular South Licenses, Inc.	19	Cellco Partnership d/b/a Verizon Wireless	18	13682000.00	 	
73	700 MHz Band	261	WY-BEA079-A	Montgomery AL	8410000.00	8410000.00	Cellular South Licenses, Inc.	74	CenturyTel Broadband Wireless LLC	73	8087000.00	 	
73	700 MHz Band	261	WY-BEA080-A	Mobile AL	11719000.00	11719000.00	Cellular South Licenses, Inc.	16	CenturyTel Broadband Wireless LLC	15	9766000.00	 	
73	700 MHz Band	261	WY-BEA081-A	Pensacola FL	19427000.00	19427000.00	Cox Wireless, Inc.	70	Cellular South Licenses, Inc.	67	19016000.00	 	
73	700 MHz Band	261	WY-BEA082-A	Biloxi-Gulfport-Pascagoula MS	4777000.00	4777000.00	Cellular South Licenses, Inc.	73	CenturyTel Broadband Wireless LLC	72	4592000.00	 	
73	700 MHz Band	261	WY-BEA083-A	New Orleans LA-MS	15129000.00	15129000.00	Cox Wireless, Inc.	20	Bluewater Wireless, L.P.	19	13126000.00	 	
73	700 MHz Band	261	WY-BEA084-A	Baton Rouge LA-MS	9517000.00	9517000.00	Cox Wireless, Inc.	23	CenturyTel Broadband Wireless LLC	18	9060000.00	 	
73	700 MHz Band	261	WY-BEA085-A	Lafayette LA	10614000.00	10614000.00	CenturyTel Broadband Wireless LLC	31	Cox Wireless, Inc.	30	9649000.00	 	
73	700 MHz Band	261	WY-BEA086-A	Lake Charles LA	3533000.00	3533000.00	CenturyTel Broadband Wireless LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	3212000.00	 	
73	700 MHz Band	261	WY-BEA087-A	Beaumont-Port Arthur TX	1167000.00	875250.00	Cavalier Wireless, LLC	29	Command Connect, LLC	28	1058000.00	 	
73	700 MHz Band	261	WY-BEA088-A	Shreveport-Bossier City LA-AR	4499000.00	4499000.00	CenturyTel Broadband Wireless LLC	30	Cavalier Wireless, LLC	29	4078000.00	 	
73	700 MHz Band	261	WY-BEA089-A	Monroe LA	1091000.00	1091000.00	CenturyTel Broadband Wireless LLC	33	Bayou Internet, Inc.	32	1001000.00	 	
73	700 MHz Band	261	WY-BEA090-A	Little Rock AR	11309000.00	11309000.00	CenturyTel Broadband Wireless LLC	72	Cellular South Licenses, Inc.	71	10937000.00	 	
73	700 MHz Band	261	WY-BEA091-A	Fort Smith AR-OK	6277000.00	6277000.00	CenturyTel Broadband Wireless LLC	97	Cox Wireless, Inc.	96	6036000.00	 	
73	700 MHz Band	261	WY-BEA092-A	Fayetteville AR-MO-OK	6180000.00	6180000.00	Cox Wireless, Inc.	117	CenturyTel Broadband Wireless LLC	116	5977000.00	 	
73	700 MHz Band	261	WY-BEA093-A	Joplin MO-KS-OK	560000.00	420000.00	King Street Wireless, L.P.	27	Cavalier Wireless, LLC	26	507000.00	 	
73	700 MHz Band	261	WY-BEA094-A	Springfield MO	21928000.00	21928000.00	CenturyTel Broadband Wireless LLC	81	King Street Wireless, L.P.	80	21085000.00	 	
73	700 MHz Band	261	WY-BEA095-A	Jonesboro AR-MO	504000.00	504000.00	CenturyTel Broadband Wireless LLC	29	Cavalier Wireless, LLC	28	458000.00	 	
73	700 MHz Band	261	WY-BEA096-A	St. Louis MO-IL	60918000.00	45688500.00	King Street Wireless, L.P.	26	Cellco Partnership d/b/a Verizon Wireless	25	55365000.00	 	
73	700 MHz Band	261	WY-BEA097-A	Springfield IL-MO	3213000.00	2409750.00	King Street Wireless, L.P.	41	I-700, LLC	40	3090000.00	 	
73	700 MHz Band	261	WY-BEA098-A	Columbia MO	10034000.00	10034000.00	CenturyTel Broadband Wireless LLC	72	King Street Wireless, L.P.	71	9648000.00	 	
73	700 MHz Band	261	WY-BEA099-A	Kansas City MO-KS	21282000.00	21282000.00	Cellco Partnership d/b/a Verizon Wireless	21	Bluewater Wireless, L.P.	20	18905000.00	 	
73	700 MHz Band	261	WY-BEA100-A	Des Moines IA-IL-MO	7740000.00	5805000.00	King Street Wireless, L.P.	24	Iowa Intelegra Consortium, LLC	23	7031000.00	 	
73	700 MHz Band	261	WY-BEA101-A	Peoria-Pekin IL	4063000.00	4063000.00	CenturyTel Broadband Wireless LLC	41	I-700, LLC	40	3907000.00	 	
73	700 MHz Band	261	WY-BEA102-A	Davenport-Moline IA-IL	1887000.00	1415250.00	King Street Wireless, L.P.	21	I-700, LLC	20	1663000.00	 	
73	700 MHz Band	261	WY-BEA103-A	Cedar Rapids IA	1124000.00	1124000.00	Iowa Intelegra Consortium, LLC	64	PCS Partners, L.P.	63	1081000.00	 	
73	700 MHz Band	261	WY-BEA104-A	Madison WI-IL-IA	23037000.00	17277750.00	King Street Wireless, L.P.	40	CenturyTel Broadband Wireless LLC	39	22151000.00	 	
73	700 MHz Band	261	WY-BEA105-A	La Crosse WI-MN	7150000.00	7150000.00	CenturyTel Broadband Wireless LLC	156	King Street Wireless, L.P.	155	6875000.00	 	
73	700 MHz Band	261	WY-BEA106-A	Rochester MN-IA-WI	1545000.00	1158750.00	King Street Wireless, L.P.	20	Midwest AWS Limited Partnership	19	1405000.00	 	
73	700 MHz Band	261	WY-BEA107-A	Minneapolis-St. Paul MN-WI-IA	51087000.00	51087000.00	Cellco Partnership d/b/a Verizon Wireless	17	Bluewater Wireless, L.P.	16	42577000.00	 	
73	700 MHz Band	261	WY-BEA108-A	Wausau WI	5645000.00	4233750.00	King Street Wireless, L.P.	40	CenturyTel Broadband Wireless LLC	39	5428000.00	 	
73	700 MHz Band	261	WY-BEA109-A	Duluth-Superior MN-WI	2403000.00	2403000.00	NSIGHTTEL WIRELESS, LLC	40	CenturyTel Broadband Wireless LLC	39	2311000.00	 	
73	700 MHz Band	261	WY-BEA110-A	Grand Forks ND-MN	472000.00	354000.00	Kurian, Thomas K	154	Forum Communications Company	115	463000.00	 	
73	700 MHz Band	261	WY-BEA111-A	Minot ND	318000.00	270300.00	LL License Holdings, LLC	175	Kurian, Thomas K	174	306000.00	 	
73	700 MHz Band	261	WY-BEA112-A	Bismarck ND-MT-SD	758000.00	644300.00	LL License Holdings, LLC	141	Kurian, Thomas K	140	725000.00	 	
73	700 MHz Band	261	WY-BEA113-A	Fargo-Moorhead ND-MN	834000.00	625500.00	Kurian, Thomas K	159	Kurian, Thomas K	158	807000.00	 	
73	700 MHz Band	261	WY-BEA114-A	Aberdeen SD	306000.00	260100.00	James Valley Cooperative Telephone Company	178	LL License Holdings, LLC	177	294000.00	 	
73	700 MHz Band	261	WY-BEA115-A	Rapid City SD-MT-NE-ND	805000.00	684250.00	LL License Holdings, LLC	98	SAL Spectrum, LLC	97	774000.00	 	
73	700 MHz Band	261	WY-BEA116-A	Sioux Falls SD-IA-MN-NE	976000.00	829600.00	LL License Holdings, LLC	157	Kurian, Thomas K	156	922000.00	 	
73	700 MHz Band	261	WY-BEA117-A	Sioux City IA-NE-SD	955000.00	811750.00	LL License Holdings, LLC	31	King Street Wireless, L.P.	30	868000.00	 	
73	700 MHz Band	261	WY-BEA118-A	Omaha NE-IA-MO	5698000.00	5698000.00	Cox Wireless, Inc.	51	Continuum 700 LLC	50	5482000.00	 	
73	700 MHz Band	261	WY-BEA119-A	Lincoln NE	1608000.00	1608000.00	CenturyTel Broadband Wireless LLC	28	LL License Holdings, LLC	27	1345000.00	 	
73	700 MHz Band	261	WY-BEA120-A	Grand Island NE	1784000.00	1338000.00	King Street Wireless, L.P.	33	Glenwood Telephone Membership, Corporation	32	1622000.00	 	
73	700 MHz Band	261	WY-BEA121-A	North Platte NE-CO	102000.00	76500.00	King Street Wireless, L.P.	129	Iowa Intelegra Consortium, LLC	128	98000.00	 	
73	700 MHz Band	261	WY-BEA122-A	Wichita KS-OK	7801000.00	7801000.00	Cox Wireless, Inc.	31	King Street Wireless, L.P.	30	7072000.00	 	
73	700 MHz Band	261	WY-BEA123-A	Topeka KS	1748000.00	1748000.00	Cox Wireless, Inc.	31	Cincinnati Bell Wireless LLC	30	1547000.00	 	
73	700 MHz Band	261	WY-BEA124-A	Tulsa OK-KS	15618000.00	15618000.00	Cox Wireless, Inc.	27	Cellco Partnership d/b/a Verizon Wireless	26	14256000.00	 	
73	700 MHz Band	261	WY-BEA125-A	Oklahoma City OK	12177000.00	12177000.00	Cellco Partnership d/b/a Verizon Wireless	23	Bluewater Wireless, L.P.	21	11422000.00	 	
73	700 MHz Band	261	WY-BEA126-A	Western Oklahoma OK	252000.00	252000.00	Pioneer Telephone Cooperative, Inc.	26	Cavalier Wireless, LLC	25	220000.00	 	
73	700 MHz Band	261	WY-BEA127-A	Dallas-Fort Worth TX-AR-OK	171956000.00	171956000.00	Cellco Partnership d/b/a Verizon Wireless	17	QUALCOMM Incorporated	16	143297000.00	 	
73	700 MHz Band	261	WY-BEA128-A	Abilene TX	927000.00	927000.00	Central Texas Telephone Investments, LP	160	Miller, David	159	892000.00	 	
73	700 MHz Band	261	WY-BEA129-A	San Angelo TX	721000.00	721000.00	Central Texas Telephone Investments, LP	162	Miller, David	161	694000.00	 	
73	700 MHz Band	261	WY-BEA130-A	Austin-San Marcos TX	17370000.00	17370000.00	Cellco Partnership d/b/a Verizon Wireless	21	MetroPCS 700 MHz, LLC	20	15821000.00	 	
73	700 MHz Band	261	WY-BEA131-A	Houston-Galveston-Brazoria TX	53474000.00	53474000.00	Cellco Partnership d/b/a Verizon Wireless	17	Bluewater Wireless, L.P.	16	44562000.00	 	
73	700 MHz Band	261	WY-BEA132-A	Corpus Christi TX	829000.00	621750.00	Cavalier Wireless, LLC	78	Kurian, Thomas K	77	802000.00	 	
73	700 MHz Band	261	WY-BEA133-A	McAllen-Edinburg-Mission TX	1161000.00	870750.00	Cavalier Wireless, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	1055000.00	 	
73	700 MHz Band	261	WY-BEA134-A	San Antonio TX	23043000.00	23043000.00	Cellco Partnership d/b/a Verizon Wireless	20	Continuum 700 LLC	19	19217000.00	 	
73	700 MHz Band	261	WY-BEA135-A	Odessa-Midland TX	1730000.00	1297500.00	Miller, David	161	Central Texas Telephone Investments, LP	156	1696000.00	 	
73	700 MHz Band	261	WY-BEA136-A	Hobbs NM-TX	473000.00	402050.00	PVT Networks, Inc.	27	Cellco Partnership d/b/a Verizon Wireless	26	406000.00	 	
73	700 MHz Band	261	WY-BEA137-A	Lubbock TX	0	0	FCC	0	Xanadoo 700 MHz DE, LLC	89	721000.00	 	
73	700 MHz Band	261	WY-BEA138-A	Amarillo TX-NM	795000.00	596250.00	Miller, David	76	SAL Spectrum, LLC	68	779000.00	 	
73	700 MHz Band	261	WY-BEA139-A	Santa Fe NM	1036000.00	1036000.00	SAL Spectrum, LLC	183	Cavalier Wireless, LLC	182	1002000.00	 	
73	700 MHz Band	261	WY-BEA140-A	Pueblo CO-NM	967000.00	967000.00	CenturyTel Broadband Wireless LLC	158	Miller, David	157	930000.00	 	
73	700 MHz Band	261	WY-BEA141-A	Denver-Boulder CO-KS-NE	38056000.00	38056000.00	Cellco Partnership d/b/a Verizon Wireless	19	Bluewater Wireless, L.P.	18	35068000.00	 	
73	700 MHz Band	261	WY-BEA142-A	Scottsbluff NE-WY	282000.00	211500.00	Hemingford Cooperative Telephone Company	100	Iowa Intelegra Consortium, LLC	98	275000.00	 	
73	700 MHz Band	261	WY-BEA143-A	Casper WY-ID-UT	3797000.00	3797000.00	Union Telephone Company	27	Cellco Partnership d/b/a Verizon Wireless	26	3411000.00	 	
73	700 MHz Band	261	WY-BEA144-A	Billings MT-WY	1457000.00	1457000.00	Bresnan Communications, Inc.	135	Kurian, Thomas K	134	1409000.00	 	
73	700 MHz Band	261	WY-BEA145-A	Great Falls MT	317000.00	317000.00	Bresnan Communications, Inc.	88	Cavalier Wireless, LLC	87	305000.00	 	
73	700 MHz Band	261	WY-BEA146-A	Missoula MT	3456000.00	3456000.00	CenturyTel Broadband Wireless LLC	32	Bresnan Communications, Inc.	31	3145000.00	 	
73	700 MHz Band	261	WY-BEA147-A	Spokane WA-ID	4445000.00	3333750.00	Cavalier Wireless, LLC	29	Vulcan Spectrum LLC	28	4024000.00	 	
73	700 MHz Band	261	WY-BEA148-A	Idaho Falls ID-WY	1086000.00	814500.00	Manti Telephone Company	80	Kurian, Thomas K	79	1050000.00	 	
73	700 MHz Band	261	WY-BEA149-A	Twin Falls ID	374000.00	280500.00	Manti Telephone Company	80	Kurian, Thomas K	79	362000.00	 	
73	700 MHz Band	261	WY-BEA150-A	Boise City ID-OR	3268000.00	2451000.00	Continuum 700 LLC	160	Cavalier Wireless, LLC	159	3142000.00	 	
73	700 MHz Band	261	WY-BEA151-A	Reno NV-CA	2802000.00	2101500.00	Triad 700, LLC	183	Cavalier Wireless, LLC	182	2710000.00	 	
73	700 MHz Band	261	WY-BEA152-A	Salt Lake City-Ogden UT-ID	15824000.00	11868000.00	Continuum 700 LLC	46	Cellco Partnership d/b/a Verizon Wireless	23	15514000.00	 	
73	700 MHz Band	261	WY-BEA153-A	Las Vegas NV-AZ-UT	30974000.00	30974000.00	Cox Wireless, Inc.	36	Cellco Partnership d/b/a Verizon Wireless	25	30367000.00	 	
73	700 MHz Band	261	WY-BEA154-A	Flagstaff AZ-UT	1475000.00	1475000.00	SAL Spectrum, LLC	77	Triad 700, LLC	55	1446000.00	 	
73	700 MHz Band	261	WY-BEA155-A	Farmington NM-CO	1489000.00	1489000.00	CenturyTel Broadband Wireless LLC	90	SAL Spectrum, LLC	89	1432000.00	 	
